,id,Star_name,Distance,Mass,Radius,Luminosity
0,0,SDSS J000013.54+255418.6 [de],46.1,48,0.99,1
1,1,2MASS J00040288-6410358,192.0,19,1.63,25.4
2,2,LHS 102BC,,,,"13,500"
3,3,2MASS J00242463-0158201,37.7,79,1.09,2
4,4,2MASS J00250365+4759191AB,143.0,,,170
5,5,2MASS J00274197+0503417,236.0,31,1.44,50
6,6,2MASS J00275592+2219328,46.9,,,150
7,7,2MASSW J0030300-145033,87.2,54,0.98,"120,000"
8,8,2MASS J00332386-1521309 [de],131.0,29,1.43,7.7
9,9,2MASS J00345157+0523050,31.0,42,0.94,"60,000"
10,10,2MASS 0036+1821,28.6,42,0.94,"3,000"
11,11,2MASSW J0045214+163445,57.0,23,1.62,"42,000"
12,12,WISEP J004701.06+680352.1 [fr],40.0,12,1.3,10.5
13,13,2MASS J00501994-3322402 [de],34.0,40,0.94,"25,000"
14,14,2MASS J00034227-2822410,,,,520
15,15,2MASS J00584253-0651239 [de],96.0,29,1.43,"75,000"
16,16,CFBDS J005910.90–011401.3,30.0,23,,"20,512"
17,17,2MASSI J0103320+193536,70.0,52,0.98,43
18,18,SDSSp J010752.33+004156.1 [de],51.0,52,0.98,16.6
19,19,2MASSI J0117474-340325 [de],163.0,20,1.62,"200,000"
20,20,2MASS J01415823-4633574 [de],130.0,20,1.61,"34,000"
21,21,SDSS J015141.69+124429.6,70.0,47,0.97,290
22,22,DENIS-P J020529.0−115925A,65.0,,,"39,000"
23,23,DENIS-P J020529.0−115925B,65.0,,,"36,000"
24,24,DENIS-P J020529.0−115925C,65.0,,,30
25,25,SDSS J020742.48+000056.2 [de],111.0,47,0.97,820
26,26,2MASS J02103857-3015313,101.0,15,1.53,"9,200"
27,27,2MASS J02340093-6442068,155.0,20,1.62,700
28,28,2MASS J02411151-0326587 [de],152.0,27,1.41,290
29,29,2MASS J02431371−2453298,35.0,33,0.99,"380,000"
30,30,LP 771-21,53.0,78,1.08,"170,000"
31,31,2MASS J02511327+0047364,,,,260
32,32,Teegarden's star,12.578,80,1.27,110
33,33,2MASS J02535980+3206373,184.0,65,1.9,"120,000"
34,34,WISE J0254+0223,24.0,65,1.9,300
35,35,DEN 0255-4700,16.2,80,0.97,"5,000"
36,36,2MASS J03185403-3421292 [de],45.0,49,0.97,"82,000"
37,37,2MASS J03205965+1854233,47.0,88,1.15,"1,800"
38,38,2MASS J03231002-4631237,192.0,23,1.66,360
39,39,SDSS J032553.17+042540.1,59.0,45,0.95,"60,000"
40,40,2MASS J03264225-2102057 [de],80.0,18,1.3,"1,350"
41,41,2MASS J03284265+2302051 [de],98.0,54,0.98,50
42,42,2MASS J03341218-4953322,27.0,73,1.04,"5,500"
43,43,LP 944-20,20.9,73,1.43,120
44,44,2MASP J0345432+254023,88.0,74,1.05,"2,200"
45,45,Teide 1,380.0,55,3.78,90
46,46,2MASS J03510004-0052452,48.0,102,1.27,"27,000"
47,47,2MASS J03552337+1133437,29.8,20,1.32,"2,500"
48,48,DENIS-P J035726.9-441730 [de],130.0,,,780
49,49,2MASS J04151954−0935066,18.6,30,0.95,"190,000"
50,50,SDSSp J042348.57-041403.5 [de],50.0,,,"1,500"
51,51,2MASS J04285096-2253227 [de],85.0,80,1.09,"43,000"
52,52,2MASS J04351612-1606574,34.0,100,1.26,"8,300"
53,53,2MASS J04362788-4114465,142.0,39,1.97,0.52
54,54,2MASS J04390101-2353083 [de],29.5,48,0.97,1.22
55,55,2MASS J04414489+2301513,470.0,19,,0.34
56,56,2MASS J04433764+0002040,82.0,22,1.78,"212,000"
57,57,2MASS J04455387-3048204 [de],42.0,64,1.0,"5,000,000"
58,58,2MASS J04510093-3402150 [de],69.0,1.04,72.0,"2,000"
59,59,2MASS J05002100+0330501 [de],44.0,64,1.0,"135,000"
60,60,2MASS J05012406-0010452 [de],64.0,21,1.38,3.57
61,61,2MASS J05160945-0445499 [de],73.0,47,0.97,"347,000 - 530,000"
62,62,2MASS J0523−1403,40.0,68,1.01,"610,000"
63,63,2MASS 0532+8246,81.0,83,,"2,472 - 5,800"
64,64,SDSS J053951.99-005902.0,41.62,61,1.01,"200,000"
65,65,2MASS J05591914-1404488 [de],34.0,,,0.153
66,66,LSR 0602+3910 [de],34.6,28,1.41,"4,350"
67,67,2MASS J06085283-2753583,102.0,38,1.51,38
68,68,WISEP J061135.13-041024.0A,69.0,65,,"10,000"
69,69,WISEP J061135.13-041024.0B,69.0,53,,0.52
70,70,2MASS J06244595-4521548 [de],39.0,56,0.99,"9,000"
71,71,2MASS J06411840-4322329 [de],65.0,67,1.01,"417,000"
72,72,DENIS-P J0652197-253450 [de],51.0,75,1.05,0.072
73,73,2MASS J07003664+3157266 [de],40.0,,,"15,000"
74,74,2MASS J07075327-4900503,60.0,72,1.03,3.83
75,75,UGPS J072227.51-054031.2,13.4,26,0.98,1.06
76,76,2MASSI J0727182+171001 [de],29.6,41,0.94,"178,000 - 270,000"
77,77,2MASS J07290002-3954043 [de],25.8,37,0.94,"1,700,000"
78,78,SDSS J074201.41+205520.5 [de],49.0,43,0.94,"910,000"
79,79,2MASS J0746425+200032 [fr],49.6,,,"86,300 - 87,100"
80,80,DENIS-P J0751164-253043 [de],55.0,71,1.03,0.0035
81,81,2MASS J07522390+1612157,60.0,2.01,68.0,?
82,82,DENIS J081730.0-615520,16.1,44,0.94,0.0017
83,83,DENIS J082303.1−491201A,67.0,44,,4.68
84,84,DENIS J082303.1−491201B,67.0,28,,"8,710,000"
85,85,2MASS J08251968+2115521 [de],35.0,52,0.98,"3,600,000"
86,86,SDSSp J083008.12+482847.4 [de],43.0,48,0.99,"282,000"
87,87,LHS 2021,55.0,88,1.15,"330,000"
88,88,SDSS J083048.80+012831.1 [de],77.0,46,0.96,0.98
89,89,2MASSI J0835425-081923 [de],23.53,62,1.0,0.0033
90,90,2MASSI J0847287-153237 [de],43.0,64,1.0,"229,000"
91,91,2MASS J08533619-0329321,27.6,77,1.07,0.0004
92,92,2MASSI J0859254-194926 [de],50.0,50,0.98,"340-589,000"
93,93,2MASSW J0920122+351742 [de],95.0,,,0.0005
94,94,2MASSI J0937347+293142,20.0,42,0.94,0.00013
95,95,2MASS 0939−2448,17.4,32,0.95,?
96,96,2MASS J09490860-1545485 [de],59.0,49,0.96,"850,000"
